year,location,type_of_crime,incidents,rate_per_100k
2000,Alberta ,Attempted murder,35,1.16
2000,Alberta ,Counterfeiting,137,4.56
2000,Alberta ,Drug violations,6979,232.25
2000,Alberta ,Firearms related crime,203,6.76
2000,Alberta ,Fraud,11800,392.69
2000,Alberta ,Homicide,59,1.96
2000,Alberta ,Impaired driving,11902,396.08
2000,Alberta ,Motor vehicle theft,14916,496.38
2000,Alberta ,Prostitution,778,25.89
2000,Alberta ,Robbery,2862,95.24
2000,Alberta ,Sexual violations against children,0,0
2000,Alberta ,"Theft over $5,000",1847,61.47
2000,Alberta ,"Theft under $5,000",73879,2458.58
2000,Alberta ,Trespass,415,13.81
2000,Alberta ,Weapons violations,1415,47.09
2000,British Columbia ,Attempted murder,91,2.25
2000,British Columbia ,Counterfeiting,188,4.65
2000,British Columbia ,Drug violations,21924,542.78
2000,British Columbia ,Firearms related crime,368,9.11
2000,British Columbia ,Fraud,11764,291.25
2000,British Columbia ,Homicide,85,2.1
2000,British Columbia ,Impaired driving,9362,231.78
2000,British Columbia ,Motor vehicle theft,29270,724.65
2000,British Columbia ,Prostitution,974,24.11
2000,British Columbia ,Robbery,5500,136.17
2000,British Columbia ,Sexual violations against children,0,0
2000,British Columbia ,"Theft over $5,000",2252,55.75
2000,British Columbia ,"Theft under $5,000",158835,3932.34
2000,British Columbia ,Trespass,1052,26.04
2000,British Columbia ,Weapons violations,2838,70.26
2000,Manitoba ,Attempted murder,21,1.83
2000,Manitoba ,Counterfeiting,45,3.92
2000,Manitoba ,Drug violations,2099,182.94
2000,Manitoba ,Firearms related crime,160,13.94
2000,Manitoba ,Fraud,2473,215.54
2000,Manitoba ,Homicide,30,2.61
2000,Manitoba ,Impaired driving,3431,299.03
2000,Manitoba ,Motor vehicle theft,11806,1028.96
2000,Manitoba ,Prostitution,273,23.79
2000,Manitoba ,Robbery,2090,182.16
2000,Manitoba ,Sexual violations against children,0,0
2000,Manitoba ,"Theft over $5,000",497,43.32
2000,Manitoba ,"Theft under $5,000",27163,2367.41
2000,Manitoba ,Trespass,265,23.1
2000,Manitoba ,Weapons violations,895,78
2000,New Brunswick ,Attempted murder,3,0.4
2000,New Brunswick ,Counterfeiting,26,3.46
2000,New Brunswick ,Drug violations,2398,319.51
2000,New Brunswick ,Firearms related crime,69,9.19
2000,New Brunswick ,Fraud,2598,346.16
2000,New Brunswick ,Homicide,10,1.33
2000,New Brunswick ,Impaired driving,2612,348.03
2000,New Brunswick ,Motor vehicle theft,1648,219.58
2000,New Brunswick ,Prostitution,44,5.86
2000,New Brunswick ,Robbery,188,25.05
2000,New Brunswick ,Sexual violations against children,0,0
2000,New Brunswick ,"Theft over $5,000",378,50.37
2000,New Brunswick ,"Theft under $5,000",11758,1566.65
2000,New Brunswick ,Trespass,189,25.18
2000,New Brunswick ,Weapons violations,296,39.44
2000,Newfoundland and Labrador,Attempted murder,9,1.7
2000,Newfoundland and Labrador,Counterfeiting,9,1.7
2000,Newfoundland and Labrador,Drug violations,990,187.48
2000,Newfoundland and Labrador,Firearms related crime,46,8.71
2000,Newfoundland and Labrador,Fraud,1301,246.38
2000,Newfoundland and Labrador,Homicide,6,1.14
2000,Newfoundland and Labrador,Impaired driving,1140,215.89
2000,Newfoundland and Labrador,Motor vehicle theft,645,122.15
2000,Newfoundland and Labrador,Prostitution,3,0.57
2000,Newfoundland and Labrador,Robbery,57,10.79
2000,Newfoundland and Labrador,Sexual violations against children,0,0
2000,Newfoundland and Labrador,"Theft over $5,000",135,25.57
2000,Newfoundland and Labrador,"Theft under $5,000",7218,1366.93
2000,Newfoundland and Labrador,Trespass,121,22.91
2000,Newfoundland and Labrador,Weapons violations,133,25.19
2000,Northwest Territories ,Attempted murder,1,2.47
2000,Northwest Territories ,Counterfeiting,1,2.47
2000,Northwest Territories ,Drug violations,262,646.93
2000,Northwest Territories ,Firearms related crime,14,34.57
2000,Northwest Territories ,Fraud,122,301.24
2000,Northwest Territories ,Homicide,1,2.47
2000,Northwest Territories ,Impaired driving,288,711.13
2000,Northwest Territories ,Motor vehicle theft,210,518.53
2000,Northwest Territories ,Prostitution,1,2.47
2000,Northwest Territories ,Robbery,18,44.45
2000,Northwest Territories ,Sexual violations against children,0,0
2000,Northwest Territories ,"Theft over $5,000",42,103.71
2000,Northwest Territories ,"Theft under $5,000",1165,2876.61
2000,Northwest Territories ,Trespass,9,22.22
2000,Northwest Territories ,Weapons violations,45,111.11
2000,Nova Scotia ,Attempted murder,16,1.71
2000,Nova Scotia ,Counterfeiting,19,2.03
2000,Nova Scotia ,Drug violations,2147,229.9
2000,Nova Scotia ,Firearms related crime,70,7.5
2000,Nova Scotia ,Fraud,2988,319.96
2000,Nova Scotia ,Homicide,15,1.61
2000,Nova Scotia ,Impaired driving,2458,263.2
2000,Nova Scotia ,Motor vehicle theft,2867,307
2000,Nova Scotia ,Prostitution,161,17.24
2000,Nova Scotia ,Robbery,588,62.96
2000,Nova Scotia ,Sexual violations against children,0,0
2000,Nova Scotia ,"Theft over $5,000",338,36.19
2000,Nova Scotia ,"Theft under $5,000",18393,1969.52
2000,Nova Scotia ,Trespass,180,19.27
2000,Nova Scotia ,Weapons violations,428,45.83
2000,Nunavut ,Attempted murder,0,0
2000,Nunavut ,Counterfeiting,2,7.27
2000,Nunavut ,Drug violations,234,850.91
2000,Nunavut ,Firearms related crime,15,54.55
2000,Nunavut ,Fraud,72,261.82
2000,Nunavut ,Homicide,3,10.91
2000,Nunavut ,Impaired driving,90,327.27
2000,Nunavut ,Motor vehicle theft,198,720
2000,Nunavut ,Robbery,13,47.27
2000,Nunavut ,Sexual violations against children,0,0
2000,Nunavut ,"Theft over $5,000",39,141.82
2000,Nunavut ,"Theft under $5,000",446,1621.82
2000,Nunavut ,Trespass,6,21.82
2000,Nunavut ,Weapons violations,25,90.91
2000,Ontario ,Attempted murder,266,2.28
2000,Ontario ,Counterfeiting,648,5.55
2000,Ontario ,Drug violations,29226,250.11
2000,Ontario ,Firearms related crime,847,7.25
2000,Ontario ,Fraud,30397,260.13
2000,Ontario ,Homicide,156,1.34
2000,Ontario ,Impaired driving,22842,195.48
2000,Ontario ,Motor vehicle theft,48198,412.46
2000,Ontario ,Prostitution,1674,14.33
2000,Ontario ,Robbery,9550,81.73
2000,Ontario ,Sexual violations against children,0,0
2000,Ontario ,"Theft over $5,000",8699,74.44
2000,Ontario ,"Theft under $5,000",210542,1801.76
2000,Ontario ,Trespass,1316,11.26
2000,Ontario ,Weapons violations,5365,45.91
2000,Prince Edward Island ,Attempted murder,1,0.73
2000,Prince Edward Island ,Counterfeiting,21,15.39
2000,Prince Edward Island ,Drug violations,236,172.91
2000,Prince Edward Island ,Firearms related crime,3,2.2
2000,Prince Edward Island ,Fraud,393,287.94
2000,Prince Edward Island ,Homicide,3,2.2
2000,Prince Edward Island ,Impaired driving,560,410.3
2000,Prince Edward Island ,Motor vehicle theft,221,161.92
2000,Prince Edward Island ,Prostitution,2,1.47
2000,Prince Edward Island ,Robbery,15,10.99
2000,Prince Edward Island ,Sexual violations against children,0,0
2000,Prince Edward Island ,"Theft over $5,000",66,48.36
2000,Prince Edward Island ,"Theft under $5,000",2603,1907.16
2000,Prince Edward Island ,Trespass,27,19.78
2000,Prince Edward Island ,Weapons violations,29,21.25
2000,Quebec ,Attempted murder,289,3.93
2000,Quebec ,Counterfeiting,227,3.09
2000,Quebec ,Drug violations,19144,260.21
2000,Quebec ,Firearms related crime,280,3.81
2000,Quebec ,Fraud,17579,238.94
2000,Quebec ,Homicide,150,2.04
2000,Quebec ,Impaired driving,17740,241.13
2000,Quebec ,Motor vehicle theft,42458,577.11
2000,Quebec ,Prostitution,865,11.76
2000,Quebec ,Robbery,8646,117.52
2000,Quebec ,Sexual violations against children,0,0
2000,Quebec ,"Theft over $5,000",6356,86.39
2000,Quebec ,"Theft under $5,000",120085,1632.25
2000,Quebec ,Trespass,407,5.53
2000,Quebec ,Weapons violations,909,12.36
2000,Saskatchewan ,Attempted murder,35,3.47
2000,Saskatchewan ,Counterfeiting,37,3.67
2000,Saskatchewan ,Drug violations,2343,232.49
2000,Saskatchewan ,Firearms related crime,140,13.89
2000,Saskatchewan ,Fraud,4168,413.59
2000,Saskatchewan ,Homicide,26,2.58
2000,Saskatchewan ,Impaired driving,6470,642.01
2000,Saskatchewan ,Motor vehicle theft,7636,757.71
2000,Saskatchewan ,Prostitution,276,27.39
2000,Saskatchewan ,Robbery,1042,103.4
2000,Saskatchewan ,Sexual violations against children,0,0
2000,Saskatchewan ,"Theft over $5,000",674,66.88
2000,Saskatchewan ,"Theft under $5,000",29689,2946.02
2000,Saskatchewan ,Trespass,309,30.66
2000,Saskatchewan ,Weapons violations,568,56.36
2000,Yukon ,Attempted murder,0,0
2000,Yukon ,Counterfeiting,0,0
2000,Yukon ,Drug violations,109,358.31
2000,Yukon ,Firearms related crime,21,69.03
2000,Yukon ,Fraud,136,447.06
2000,Yukon ,Homicide,2,6.57
